,Game,Initial,Final,Reward
0,3172,10000.0,9912.2,-312.3
1,5153,10000.0,10276.0,149.0
2,3060,10000.0,9949.25,-209.75
3,13068,10000.0,10031.5,-87.5
4,868,10000.0,9821.56,-540.94
5,7175,10000.0,9315.46,-985.54
6,6710,10000.0,9946.56,-741.94
7,5299,10000.0,9950.65,-325.35
8,7705,10000.0,9949.54,-314.46
9,2418,10000.0,10053.46,-109.54
10,10550,10000.0,9206.89,-1091.11
11,6063,10000.0,10055.58,-138.42
12,3114,10000.0,9950.76,-332.74
13,11429,10000.0,9852.06,-764.44
14,4434,10000.0,9847.88,-435.12
15,3556,10000.0,9953.6,-217.4
16,4915,10000.0,10078.84,-134.66
17,3306,10000.0,10042.39,-88.61
18,5991,10000.0,10029.29,-106.21
19,4752,10000.0,9975.58,-220.42
20,5844,10000.0,10092.18,-98.82
21,2076,10000.0,9678.54,-675.46
22,3312,10000.0,10097.6,-69.4
23,11056,10000.0,10055.17,-63.83
24,5440,10000.0,9980.0,-197.0
25,2932,10000.0,10072.74,-66.26
26,10026,10000.0,10328.69,228.19
27,2204,10000.0,9962.13,-169.87
28,13723,10000.0,10083.74,-47.26
29,1806,10000.0,10012.39,-152.11
30,12883,10000.0,9798.52,-472.48
31,8029,10000.0,9911.46,-238.54
32,5405,10000.0,10060.0,-143.0
33,10189,10000.0,10131.25,1.25
34,7298,10000.0,9941.48,-339.02
35,2487,10000.0,9907.75,-337.25
36,4568,10000.0,10135.6,28.6
37,13096,10000.0,9036.25,-1366.25
38,5871,10000.0,10108.04,-3.96
39,12679,10000.0,9922.69,-353.81
40,13854,10000.0,10001.6,-141.4
41,6823,10000.0,10324.65,220.15
42,9896,10000.0,9946.23,-219.27
43,13601,10000.0,10031.09,-93.91
44,9211,10000.0,9930.02,-340.48
45,8735,10000.0,9940.0,-328.5
46,12650,10000.0,9140.02,-1151.98
47,373,10000.0,9838.04,-557.96
48,1854,10000.0,9884.6,-395.4
49,12607,10000.0,10131.2,105.7
50,133,10000.0,9988.77,-191.23
51,6113,10000.0,10086.7,-35.3
52,5461,10000.0,10005.64,-113.36
53,4061,10000.0,9707.86,-593.14
54,11787,10000.0,9467.32,-1014.68
55,7820,10000.0,9949.11,-320.89
56,7415,10000.0,9918.55,-324.95
57,13692,10000.0,10055.48,-60.52
58,5593,10000.0,10002.3,-125.7
59,4167,10000.0,9944.66,-304.34
60,7244,10000.0,9917.52,-349.48
